Date,High,Low,Close,Volume,Name
1.73E+12,1.428070083,1.341691007,1.357008085,23502988.36,TWT
1.73E+12,1.393536147,1.30581693,1.390042977,14954277.19,TWT
1.73E+12,1.409639678,1.317902971,1.34852532,17255098.08,TWT
1.73E+12,1.416418219,1.305466917,1.3975712,25754428.23,TWT
1.73E+12,1.406143133,1.33802093,1.356065152,25966352.54,TWT
1.73E+12,1.357405125,1.235177832,1.350652844,23135743.49,TWT
1.73E+12,1.351109511,1.174857006,1.282783316,51638686.95,TWT
1.73E+12,1.511854494,1.195141272,1.324863036,57050457.55,TWT
1.73E+12,1.530581626,1.475280888,1.515634378,24329020.31,TWT
1.73E+12,1.626462437,1.517476521,1.518115705,37219285.23,TWT
1.73E+12,1.61458634,1.45516605,1.564598104,62546714.39,TWT
1.73E+12,1.529554344,1.34915724,1.500067525,66459930.78,TWT
1.73E+12,1.5593181,1.349529421,1.419632197,92945851.33,TWT
1.73E+12,1.361855295,1.205832121,1.352260732,59225399.2,TWT
1.73E+12,1.28788639,1.156111069,1.274998177,51037428.96,TWT
1.73E+12,1.211526165,1.161410763,1.187774495,27466177.49,TWT
1.73E+12,1.244264002,1.148982705,1.201147602,37282960.67,TWT
1.73E+12,1.193521548,1.119166617,1.168059869,38630811.25,TWT
1.73E+12,1.141462478,1.072571595,1.129924977,34125195.03,TWT
1.73E+12,1.118786084,1.054910696,1.108811063,34055470.06,TWT
1.73E+12,1.098065237,1.008022302,1.066304559,27131608.7,TWT
1.73E+12,1.102474515,1.036111601,1.055565148,34407681.85,TWT
1.73E+12,1.079081691,0.998798397,1.067694348,33034921.11,TWT
1.73E+12,1.050047693,0.968929912,1.031689639,32852684.87,TWT
1.73E+12,0.983518938,0.945442589,0.977575971,17147603.51,TWT
1.73E+12,0.968231572,0.891262627,0.96710244,21479936.45,TWT
1.73E+12,0.9576133,0.901648059,0.912738764,23715524.95,TWT
1.73E+12,0.971782782,0.921965114,0.940237727,20812767.57,TWT
1.73E+12,0.975662212,0.935865018,0.964448041,23178920.9,TWT
1.73E+12,0.997822201,0.934323914,0.949544023,17225602.63,TWT
1.73E+12,0.997522371,0.96115883,0.989917831,28368847.23,TWT
1.73E+12,0.978624491,0.920370321,0.976535854,33975654.56,TWT
1.73E+12,1.028447706,0.94121059,0.947732279,26270684,TWT
1.73E+12,1.059036415,0.974609708,1.016359818,28233497.17,TWT
1.73E+12,1.110621556,1.009607592,1.052285881,31148631.32,TWT
1.73E+12,1.097276869,1.033097752,1.094593646,20992551.55,TWT
1.73E+12,1.090361091,1.018261074,1.066107796,23501940.72,TWT
1.73E+12,1.04849076,1.012983951,1.04142625,14604309.41,TWT
1.73E+12,1.058268973,1.00259391,1.018684578,15815563.32,TWT
1.73E+12,1.051688977,1.004501721,1.050586017,18183962.79,TWT
1.73E+12,1.044949122,0.93377742,1.031180579,19233930.33,TWT
1.73E+12,0.946257344,0.921430212,0.93415863,8925528.58,TWT
1.73E+12,0.978786934,0.902287363,0.925704339,10900419.93,TWT
1.73E+12,0.990245235,0.936242367,0.967559385,8517208.07,TWT
1.73E+12,1.000780425,0.971956814,0.98729796,6767770.93,TWT
1.73E+12,1.002184308,0.965944782,0.992336495,7816117.32,TWT
1.73E+12,1.030202486,0.974870686,0.986836958,8398401.53,TWT
1.73E+12,1.051439232,1.024183093,1.027460999,10154648.51,TWT
1.73E+12,1.056602587,1.01235232,1.040902646,12157659.84,TWT
1.73E+12,1.02709165,0.995790942,1.013097102,11494379.2,TWT
1.73E+12,1.019498346,1.000410327,1.00835154,5722020.67,TWT
1.73E+12,1.009400947,0.967162812,1.005249512,8445932.61,TWT
1.73E+12,1.033990798,0.958038918,0.97413355,12709330.68,TWT
1.73E+12,1.044436246,1.009741107,1.026535864,9684721.65,TWT
1.73E+12,1.057962589,1.011038769,1.027876818,10191520.25,TWT
1.73E+12,1.081541038,1.036011961,1.054759923,8104955.15,TWT
1.73E+12,1.113538834,1.053177613,1.06868739,10158155.95,TWT
1.73E+12,1.115133126,1.089720703,1.108988352,8507744.35,TWT
1.73E+12,1.137928487,1.099315243,1.101776543,6932655.76,TWT
1.73E+12,1.132822057,1.09301711,1.12675994,8653655.92,TWT
1.73E+12,1.138309255,1.088760191,1.094694775,11755395.64,TWT
